speedKmh,observedDelayMin,targetDelayMin
50.34710096331301,4.0,4.8382425329152925
74.83990390142368,1.0,0.0
42.0,4.0,5.2922943250547725
55.0,2.0,2.851756916760471
38.0,10.0,9.09841624006383
58.36,21.61,12.507927674151045
47.34,16.92,10.87751355930188
78.08,7.42,0.8174627204646798
76.09,18.9,8.507755155764741
28.29,19.84,16.628008555857733
37.01,3.68,5.870584731552568
67.03,15.87,8.038981113399661
63.74,1.01,0.6694667615498546
34.77,2.33,4.422971891885261
44.74,20.96,17.741315951714736
35.06,19.3,15.322080795808581
24.82,6.71,11.548289943774076
46.68,16.77,9.998932917484051
60.71,24.06,12.950633412630754
38.87,6.19,9.079330895098767
56.22,17.94,11.691517359927834
75.76,1.87,2.9985612385721767
43.68,16.63,12.470545858415583
48.2,4.43,5.397757794999657
66.06,6.46,3.449510971874511
80.84,13.77,7.310680342658462
33.26,15.27,14.027028126873006
48.35,22.98,15.408604392290373
83.34,14.55,8.243680897032537
78.61,18.35,11.680891210451565
68.92,14.91,7.462067565935312
40.05,23.57,18.033006718092405
46.28,18.6,14.96412283828257
23.1,0.84,9.648003544889033
26.84,13.67,15.779161970701677
31.13,7.97,11.220719862280433
46.18,13.61,9.794331712231568
72.85,23.9,12.554863498598142
75.64,7.85,2.7147932820480216
62.88,1.28,0.0
63.65,12.34,9.717567056092081
67.95,10.59,5.170662970641455
68.79,17.08,10.653662672225808
57.44,3.35,3.4910152419564078
27.42,3.67,7.277117311081262
27.33,13.85,13.80653564272941
58.66,22.77,11.985004611199532
39.6,20.06,15.735562880056143
59.02,3.72,2.3083227286297787
67.63,18.08,10.31184820490388
61.97,10.6,2.8665652878505714
53.31,14.09,8.41074218105205
68.74,18.95,8.717873883184305
39.03,15.01,10.986576553749623
70.66,14.07,8.009040584542015
44.78,14.25,14.780264877129861
44.88,5.96,4.77517499444962
38.45,12.25,13.388799657560565
77.45,14.27,6.876706162818722
81.89,16.68,10.627813849263777
66.6,4.26,2.316878913786907
64.81,13.21,4.777825130322001
80.83,6.63,3.3718924694404784
55.28,18.4,10.770426758860703
70.86,19.64,10.812892632271094
68.7,13.74,6.6914243675467215
20.98,5.5,13.194720891683014
73.18,5.03,3.0093209588339622
49.16,14.88,11.256006925314122
26.77,1.37,7.291301414046116
42.65,5.11,6.261685386550604
56.21,7.76,5.928586384189403
48.43,11.27,7.555788554158604
59.46,0.11,0.5394543184551407
25.38,14.81,16.834357597679972
32.03,2.21,7.170306261516474
23.1,10.64,13.99144433427088
79.38,4.96,1.0160893313304853
48.64,20.33,14.199349835181103
82.2,2.05,1.8343327092727013
