trainId,routeId,eventTime,speedKmh,observedDelayMin,latitude,longitude,source
NC-220,COLOMBO-JAFFNA,2026-05-06T10:11:23.080Z,77.71,15.43,6.9301277716327725,79.89546888574851,API_SIMULATION
IC-101,COLOMBO-KANDY,2026-05-06T10:11:23.080Z,23.15,0.57,6.900805892534335,79.90033803630155,API_SIMULATION
NC-220,COLOMBO-JAFFNA,2026-05-06T10:11:23.080Z,28.45,9.81,6.9321894904591295,79.80652364154447,API_SIMULATION
IC-101,COLOMBO-KANDY,2026-05-06T10:11:23.080Z,23.83,13.84,6.9120042449903565,79.89858824779932,API_SIMULATION
NC-220,COLOMBO-JAFFNA,2026-05-06T10:11:23.080Z,60.5,21.12,6.92058315040524,79.89252358415297,API_SIMULATION
IC-101,COLOMBO-KANDY,2026-05-06T10:11:23.080Z,70.15,6.49,6.912620380319734,79.80840578259617,API_SIMULATION
NC-220,COLOMBO-JAFFNA,2026-05-06T10:11:23.080Z,60.86,2.23,6.933265330390305,79.82303054755316,API_SIMULATION
IC-101,COLOMBO-KANDY,2026-05-06T10:11:23.080Z,20.12,17.15,6.908710209079184,79.84385811084461,API_SIMULATION
NC-220,COLOMBO-JAFFNA,2026-05-06T10:11:23.081Z,42.99,9.68,6.87470862908827,79.8537303241359,API_SIMULATION
IC-101,COLOMBO-KANDY,2026-05-06T10:11:23.081Z,81.36,21.94,6.971902461837846,79.80449961395242,API_SIMULATION
NC-220,COLOMBO-JAFFNA,2026-05-06T10:11:23.081Z,45.4,7.83,6.8674246910259935,79.85414904564634,API_SIMULATION
IC-101,COLOMBO-KANDY,2026-05-06T10:11:23.081Z,42.53,22.04,6.924259395957223,79.91720450806268,API_SIMULATION
NC-220,COLOMBO-JAFFNA,2026-05-06T10:11:23.081Z,60.27,1.86,6.980899913956115,79.83673325195068,API_SIMULATION
IC-101,COLOMBO-KANDY,2026-05-06T10:11:23.081Z,58.27,3.96,6.909737126908809,79.86745141766063,API_SIMULATION
NC-220,COLOMBO-JAFFNA,2026-05-06T10:11:23.081Z,43.31,19.14,6.9152843437031,79.80647843384438,API_SIMULATION
IC-101,COLOMBO-KANDY,2026-05-06T10:11:23.081Z,77.46,7.36,6.939680677770907,79.87277230532152,API_SIMULATION
